Modelo,Accuracy,Accuracy_σ,Precision,Precision_σ,Recall,Recall_σ,F1-Score,F1-Score_σ,AUC,AUC_σ
Regresión Logística,0.7667534927776462,0.01777298435626971,0.3853946036577535,0.031718390984363715,0.7529411764705882,0.08456490305740885,0.5092436343404037,0.044156984183578996,0.8229957965906426,0.05465803756778035
Árbol de Decisión,0.7998058252427184,0.020907852085278143,0.3736345667299178,0.06856306439659172,0.35561497326203206,0.06555741647253738,0.3641931368797041,0.06632375801530742,0.6204442657679967,0.03839563313478797
Random Forest,0.85908122188018,0.005453258823270256,0.8361904761904763,0.14041079995414943,0.16880570409982174,0.04153565436275287,0.27608675631931445,0.052843273345818724,0.8025983315517606,0.03747976207792752
XGBoost,0.8756050201278711,0.012900997020657702,0.6683386087596614,0.060261677975769,0.45828877005347596,0.058445280944950224,0.5418940906033305,0.053882927971726516,0.8124306510540032,0.03833855346263306
